ID,base model error,source model error,adapted model error,target model error
21,0.438567725839,0.174627792611,0.0933382868747,0.0444980958044
23,0.392147077918,0.380352136587,0.167474082649,0.0832436274572
31,0.291749153193,0.0488044640278,0.0445742785041,0.0343082753737
51,0.167231154817,0.0557567179456,0.0522847775942,0.0628254137256
61,0.4064164118,0.260563001254,0.115110745987,0.0742283466009
72,0.643816417345,0.069826762927,0.0703931302871,0.0444838506835
89,0.221391105652,0.263003508775,0.121887135279,0.0492174529625
107,0.684034776688,0.21636173292,0.0807711194485,0.0693971435846
108,1.00885990436,0.0637389584479,0.0632995248893,0.13564937425
112,0.867992468813,0.215476171101,0.11674028793,0.0856042752374
